,query,score,attack
1331,Q1332,69,0
1332,Q1333,72,0
1333,Q1334,104,1
1334,Q1335,151,1
1335,Q1336,118,1
1336,Q1337,9,0
1337,Q1338,173,1
1338,Q1339,12,0
1339,Q1340,150,1
1340,Q1341,78,0
1341,Q1342,178,1
1342,Q1343,65,0
1343,Q1344,179,1
1344,Q1345,191,1
1345,Q1346,98,0
1346,Q1347,90,0
1347,Q1348,129,1
1348,Q1349,21,0
1349,Q1350,84,0
1350,Q1351,26,0
1351,Q1352,127,1
1352,Q1353,21,0
1353,Q1354,88,0
1354,Q1355,180,1
1355,Q1356,183,1
1356,Q1357,57,0
1357,Q1358,96,0
1358,Q1359,153,1
1359,Q1360,3,0
1360,Q1361,187,1
1361,Q1362,12,0
1362,Q1363,164,1
1363,Q1364,24,0
1364,Q1365,152,1
1365,Q1366,179,1
1366,Q1367,31,0
1367,Q1368,154,1
1368,Q1369,149,1
1369,Q1370,55,0
1370,Q1371,154,1
1371,Q1372,53,0
1372,Q1373,23,0
1373,Q1374,10,0
1374,Q1375,9,0
1375,Q1376,190,1
1376,Q1377,54,0
1377,Q1378,113,1
1378,Q1379,23,0
1379,Q1380,192,1
1380,Q1381,137,1
1381,Q1382,158,1
1382,Q1383,93,0
1383,Q1384,193,1
1384,Q1385,188,1
1385,Q1386,90,0
1386,Q1387,136,1
1387,Q1388,198,1
1388,Q1389,45,0
1389,Q1390,129,1
1390,Q1391,156,1
1391,Q1392,1,0
1392,Q1393,99,0
1393,Q1394,134,1
1394,Q1395,169,1
1395,Q1396,58,0
1396,Q1397,7,0
1397,Q1398,171,1
1398,Q1399,109,1
1399,Q1400,133,1
1400,Q1401,29,0
1401,Q1402,72,0
1402,Q1403,34,0
1403,Q1404,193,1
1404,Q1405,193,1
1405,Q1406,18,0
1406,Q1407,175,1
1407,Q1408,123,1
1408,Q1409,129,1
1409,Q1410,139,1
1410,Q1411,177,1
1411,Q1412,141,1
1412,Q1413,191,1
1413,Q1414,169,1
1414,Q1415,166,1
1415,Q1416,85,0
1416,Q1417,90,0
1417,Q1418,136,1
1418,Q1419,80,0
1419,Q1420,57,0
1420,Q1421,44,0
1421,Q1422,57,0
1422,Q1423,154,1
1423,Q1424,57,0
1424,Q1425,180,1
1425,Q1426,45,0
1426,Q1427,38,0
1427,Q1428,109,1
1428,Q1429,84,0
1429,Q1430,27,0
1430,Q1431,145,1
1431,Q1432,19,0
1432,Q1433,57,0
1433,Q1434,78,0
1434,Q1435,94,0
1435,Q1436,144,1
1436,Q1437,78,0
1437,Q1438,192,1
1438,Q1439,189,1
1439,Q1440,10,0
1440,Q1441,59,0
1441,Q1442,150,1
1442,Q1443,71,0
1443,Q1444,195,1
1444,Q1445,116,1
1445,Q1446,110,1
1446,Q1447,62,0
1447,Q1448,63,0
1448,Q1449,103,1
1449,Q1450,31,0
1450,Q1451,137,1
1451,Q1452,47,0
1452,Q1453,2,0
1453,Q1454,4,0
1454,Q1455,117,1
1455,Q1456,96,0
1456,Q1457,115,1
1457,Q1458,188,1
1458,Q1459,43,0
1459,Q1460,33,0
1460,Q1461,129,1
1461,Q1462,170,1
1462,Q1463,183,1
1463,Q1464,59,0
1464,Q1465,171,1
1465,Q1466,41,0
1466,Q1467,168,1
1467,Q1468,189,1
1468,Q1469,86,0
1469,Q1470,38,0
1470,Q1471,60,0
1471,Q1472,156,1
1472,Q1473,20,0
1473,Q1474,54,0
1474,Q1475,150,1
1475,Q1476,152,1
1476,Q1477,173,1
1477,Q1478,155,1
1478,Q1479,51,0
1479,Q1480,119,1
1480,Q1481,151,1
1481,Q1482,110,1
1482,Q1483,19,0
1483,Q1484,29,0
1484,Q1485,85,0
1485,Q1486,79,0
1486,Q1487,199,1
1487,Q1488,43,0
1488,Q1489,52,0
1489,Q1490,44,0
1490,Q1491,67,0
1491,Q1492,130,1
1492,Q1493,86,0
1493,Q1494,4,0
1494,Q1495,14,0
1495,Q1496,157,1
1496,Q1497,52,0
1497,Q1498,135,1
1498,Q1499,178,1
1499,Q1500,53,0
1500,Q1501,15,0
1501,Q1502,1,0
1502,Q1503,74,0
1503,Q1504,58,0
1504,Q1505,168,1
1505,Q1506,28,0
1506,Q1507,151,1
1507,Q1508,34,0
1508,Q1509,4,0
1509,Q1510,166,1
1510,Q1511,150,1
1511,Q1512,118,1
1512,Q1513,54,0
1513,Q1514,188,1
1514,Q1515,0,0
1515,Q1516,64,0
1516,Q1517,195,1
1517,Q1518,94,0
1518,Q1519,49,0
1519,Q1520,79,0
1520,Q1521,153,1
1521,Q1522,19,0
1522,Q1523,66,0
1523,Q1524,4,0
1524,Q1525,11,0
1525,Q1526,111,1
1526,Q1527,32,0
1527,Q1528,129,1
1528,Q1529,160,1
1529,Q1530,194,1
1530,Q1531,61,0
1531,Q1532,167,1
1532,Q1533,18,0
1533,Q1534,35,0
1534,Q1535,15,0
1535,Q1536,98,0
1536,Q1537,34,0
1537,Q1538,37,0
1538,Q1539,10,0
1539,Q1540,102,1
1540,Q1541,163,1
1541,Q1542,65,0
1542,Q1543,34,0
1543,Q1544,35,0
1544,Q1545,115,1
1545,Q1546,86,0
1546,Q1547,67,0
1547,Q1548,82,0
1548,Q1549,83,0
1549,Q1550,51,0
1550,Q1551,166,1
1551,Q1552,81,0
1552,Q1553,187,1
1553,Q1554,33,0
1554,Q1555,131,1
1555,Q1556,173,1
1556,Q1557,167,1
1557,Q1558,69,0
1558,Q1559,173,1
1559,Q1560,40,0
1560,Q1561,184,1
1561,Q1562,195,1
1562,Q1563,188,1
1563,Q1564,170,1
1564,Q1565,41,0
1565,Q1566,70,0
1566,Q1567,132,1
1567,Q1568,8,0
1568,Q1569,188,1
1569,Q1570,132,1
1570,Q1571,89,0
1571,Q1572,42,0
1572,Q1573,75,0
1573,Q1574,176,1
1574,Q1575,114,1
1575,Q1576,21,0
1576,Q1577,66,0
1577,Q1578,81,0
1578,Q1579,135,1
1579,Q1580,54,0
1580,Q1581,48,0
1581,Q1582,110,1
1582,Q1583,192,1
1583,Q1584,60,0
1584,Q1585,199,1
1585,Q1586,190,1
1586,Q1587,52,0
1587,Q1588,87,0
1588,Q1589,76,0
1589,Q1590,66,0
1590,Q1591,184,1
1591,Q1592,24,0
1592,Q1593,80,0
1593,Q1594,34,0
1594,Q1595,142,1
1595,Q1596,158,1
1596,Q1597,142,1
1597,Q1598,16,0
1598,Q1599,139,1
1599,Q1600,109,1
1600,Q1601,60,0
1601,Q1602,130,1
1602,Q1603,139,1
1603,Q1604,170,1
1604,Q1605,107,1
1605,Q1606,175,1
1606,Q1607,47,0
1607,Q1608,175,1
1608,Q1609,80,0
1609,Q1610,152,1
1610,Q1611,62,0
1611,Q1612,72,0
1612,Q1613,150,1
1613,Q1614,42,0
1614,Q1615,153,1
1615,Q1616,174,1
1616,Q1617,123,1
1617,Q1618,33,0
1618,Q1619,195,1
1619,Q1620,101,1
1620,Q1621,165,1
1621,Q1622,35,0
1622,Q1623,184,1
1623,Q1624,113,1
1624,Q1625,95,0
1625,Q1626,127,1
1626,Q1627,158,1
1627,Q1628,140,1
1628,Q1629,102,1
1629,Q1630,99,0
1630,Q1631,27,0
1631,Q1632,73,0
1632,Q1633,64,0
1633,Q1634,73,0
1634,Q1635,57,0
1635,Q1636,78,0
1636,Q1637,129,1
1637,Q1638,15,0
1638,Q1639,152,1
1639,Q1640,176,1
1640,Q1641,27,0
1641,Q1642,182,1
1642,Q1643,51,0
1643,Q1644,102,1
1644,Q1645,193,1
1645,Q1646,61,0
1646,Q1647,113,1
1647,Q1648,118,1
1648,Q1649,188,1
1649,Q1650,199,1
1650,Q1651,138,1
1651,Q1652,61,0
1652,Q1653,138,1
1653,Q1654,146,1
1654,Q1655,106,1
1655,Q1656,134,1
1656,Q1657,100,0
1657,Q1658,192,1
1658,Q1659,138,1
1659,Q1660,143,1
1660,Q1661,198,1
1661,Q1662,85,0
1662,Q1663,7,0
1663,Q1664,155,1
1664,Q1665,38,0
1665,Q1666,164,1
1666,Q1667,81,0
1667,Q1668,159,1
1668,Q1669,200,1
1669,Q1670,118,1
1670,Q1671,150,1
1671,Q1672,171,1
1672,Q1673,44,0
1673,Q1674,51,0
1674,Q1675,108,1
1675,Q1676,89,0
1676,Q1677,124,1
1677,Q1678,63,0
1678,Q1679,47,0
1679,Q1680,124,1
1680,Q1681,138,1
1681,Q1682,21,0
1682,Q1683,86,0
1683,Q1684,66,0
1684,Q1685,181,1
1685,Q1686,103,1
1686,Q1687,32,0
1687,Q1688,153,1
1688,Q1689,15,0
1689,Q1690,159,1
1690,Q1691,96,0
1691,Q1692,84,0
1692,Q1693,179,1
1693,Q1694,70,0
1694,Q1695,152,1
1695,Q1696,170,1
1696,Q1697,92,0
1697,Q1698,200,1
1698,Q1699,117,1
1699,Q1700,108,1
1700,Q1701,155,1
1701,Q1702,189,1
1702,Q1703,150,1
1703,Q1704,11,0
1704,Q1705,150,1
1705,Q1706,183,1
1706,Q1707,107,1
1707,Q1708,53,0
1708,Q1709,92,0
1709,Q1710,64,0
1710,Q1711,88,0
1711,Q1712,73,0
1712,Q1713,171,1
1713,Q1714,16,0
1714,Q1715,185,1
1715,Q1716,1,0
1716,Q1717,60,0
1717,Q1718,194,1
1718,Q1719,156,1
1719,Q1720,142,1
1720,Q1721,110,1
1721,Q1722,96,0
1722,Q1723,3,0
1723,Q1724,11,0
1724,Q1725,50,0
1725,Q1726,172,1
1726,Q1727,177,1
1727,Q1728,175,1
1728,Q1729,106,1
1729,Q1730,188,1
1730,Q1731,115,1
1731,Q1732,155,1
1732,Q1733,115,1
1733,Q1734,92,0
1734,Q1735,53,0
1735,Q1736,81,0
1736,Q1737,30,0
1737,Q1738,199,1
1738,Q1739,173,1
1739,Q1740,57,0
1740,Q1741,90,0
1741,Q1742,81,0
1742,Q1743,31,0
1743,Q1744,56,0
1744,Q1745,12,0
1745,Q1746,183,1
1746,Q1747,126,1
1747,Q1748,195,1
1748,Q1749,38,0
1749,Q1750,125,1
1750,Q1751,4,0
1751,Q1752,112,1
1752,Q1753,49,0
1753,Q1754,118,1
1754,Q1755,158,1
1755,Q1756,12,0
1756,Q1757,163,1
1757,Q1758,184,1
1758,Q1759,5,0
1759,Q1760,167,1
1760,Q1761,36,0
1761,Q1762,59,0
1762,Q1763,158,1
1763,Q1764,29,0
1764,Q1765,48,0
1765,Q1766,134,1
1766,Q1767,178,1
1767,Q1768,7,0
1768,Q1769,99,0
1769,Q1770,169,1
1770,Q1771,21,0
1771,Q1772,180,1
1772,Q1773,22,0
1773,Q1774,115,1
1774,Q1775,137,1
1775,Q1776,96,0
1776,Q1777,88,0
1777,Q1778,167,1
1778,Q1779,97,0
1779,Q1780,23,0
1780,Q1781,54,0
1781,Q1782,90,0
1782,Q1783,157,1
1783,Q1784,48,0
1784,Q1785,137,1
1785,Q1786,4,0
1786,Q1787,139,1
1787,Q1788,95,0
1788,Q1789,106,1
1789,Q1790,197,1
1790,Q1791,118,1
1791,Q1792,156,1
1792,Q1793,53,0
1793,Q1794,53,0
1794,Q1795,38,0
1795,Q1796,192,1
1796,Q1797,85,0
1797,Q1798,94,0
1798,Q1799,86,0
1799,Q1800,89,0
1800,Q1801,13,0
1801,Q1802,37,0
1802,Q1803,133,1
1803,Q1804,35,0
1804,Q1805,104,1
1805,Q1806,14,0
1806,Q1807,104,1
1807,Q1808,21,0
1808,Q1809,175,1
1809,Q1810,170,1
1810,Q1811,98,0
1811,Q1812,19,0
1812,Q1813,133,1
1813,Q1814,89,0
1814,Q1815,137,1
1815,Q1816,136,1
1816,Q1817,197,1
1817,Q1818,53,0
1818,Q1819,111,1
1819,Q1820,114,1
1820,Q1821,65,0
1821,Q1822,50,0
1822,Q1823,115,1
1823,Q1824,178,1
1824,Q1825,111,1
1825,Q1826,189,1
1826,Q1827,48,0
1827,Q1828,176,1
1828,Q1829,51,0
1829,Q1830,126,1
1830,Q1831,42,0
1831,Q1832,112,1
1832,Q1833,116,1
1833,Q1834,80,0
1834,Q1835,44,0
1835,Q1836,40,0
1836,Q1837,89,0
1837,Q1838,68,0
1838,Q1839,18,0
1839,Q1840,67,0
1840,Q1841,170,1
1841,Q1842,48,0
1842,Q1843,98,0
1843,Q1844,200,1
1844,Q1845,87,0
1845,Q1846,62,0
1846,Q1847,0,0
1847,Q1848,177,1
1848,Q1849,115,1
1849,Q1850,172,1
1850,Q1851,146,1
1851,Q1852,52,0
1852,Q1853,42,0
1853,Q1854,125,1
1854,Q1855,139,1
1855,Q1856,145,1
1856,Q1857,57,0
1857,Q1858,80,0
1858,Q1859,141,1
1859,Q1860,165,1
1860,Q1861,5,0
1861,Q1862,54,0
1862,Q1863,68,0
1863,Q1864,128,1
1864,Q1865,163,1
1865,Q1866,17,0
1866,Q1867,30,0
1867,Q1868,86,0
1868,Q1869,66,0
1869,Q1870,39,0
1870,Q1871,183,1
1871,Q1872,61,0
1872,Q1873,8,0
1873,Q1874,32,0
1874,Q1875,103,1
1875,Q1876,1,0
1876,Q1877,26,0
1877,Q1878,151,1
1878,Q1879,134,1
1879,Q1880,117,1
1880,Q1881,51,0
1881,Q1882,135,1
1882,Q1883,149,1
1883,Q1884,133,1
1884,Q1885,83,0
1885,Q1886,88,0
1886,Q1887,72,0
1887,Q1888,91,0
1888,Q1889,104,1
1889,Q1890,38,0
1890,Q1891,145,1
1891,Q1892,127,1
1892,Q1893,36,0
1893,Q1894,77,0
1894,Q1895,138,1
1895,Q1896,93,0
1896,Q1897,170,1
1897,Q1898,120,1
1898,Q1899,61,0
1899,Q1900,17,0
1900,Q1901,184,1
1901,Q1902,144,1
1902,Q1903,58,0
1903,Q1904,14,0
1904,Q1905,65,0
1905,Q1906,125,1
1906,Q1907,143,1
1907,Q1908,72,0
1908,Q1909,61,0
1909,Q1910,171,1
1910,Q1911,185,1
1911,Q1912,111,1
1912,Q1913,140,1
1913,Q1914,66,0
1914,Q1915,2,0
1915,Q1916,149,1
1916,Q1917,192,1
1917,Q1918,96,0
1918,Q1919,45,0
1919,Q1920,15,0
1920,Q1921,63,0
1921,Q1922,76,0
1922,Q1923,195,1
1923,Q1924,70,0
1924,Q1925,118,1
1925,Q1926,113,1
1926,Q1927,44,0
1927,Q1928,44,0
1928,Q1929,107,1
1929,Q1930,132,1
1930,Q1931,37,0
1931,Q1932,49,0
1932,Q1933,103,1
1933,Q1934,164,1
1934,Q1935,172,1
1935,Q1936,93,0
1936,Q1937,155,1
1937,Q1938,35,0
1938,Q1939,121,1
1939,Q1940,47,0
1940,Q1941,65,0
1941,Q1942,195,1
1942,Q1943,37,0
1943,Q1944,10,0
1944,Q1945,82,0
1945,Q1946,44,0
1946,Q1947,132,1
1947,Q1948,156,1
1948,Q1949,47,0
1949,Q1950,188,1
1950,Q1951,36,0
1951,Q1952,76,0
1952,Q1953,48,0
1953,Q1954,30,0
1954,Q1955,127,1
1955,Q1956,199,1
1956,Q1957,167,1
1957,Q1958,81,0
1958,Q1959,153,1
1959,Q1960,6,0
1960,Q1961,106,1
1961,Q1962,148,1
1962,Q1963,165,1
1963,Q1964,81,0
1964,Q1965,187,1
1965,Q1966,34,0
1966,Q1967,107,1
1967,Q1968,46,0
1968,Q1969,5,0
1969,Q1970,67,0
1970,Q1971,200,1
1971,Q1972,171,1
1972,Q1973,127,1
1973,Q1974,65,0
1974,Q1975,96,0
1975,Q1976,94,0
1976,Q1977,10,0
1977,Q1978,123,1
1978,Q1979,149,1
1979,Q1980,10,0
1980,Q1981,193,1
1981,Q1982,87,0
1982,Q1983,192,1
1983,Q1984,32,0
1984,Q1985,197,1
1985,Q1986,37,0
1986,Q1987,50,0
1987,Q1988,184,1
1988,Q1989,188,1
1989,Q1990,78,0
1990,Q1991,178,1
1991,Q1992,8,0
1992,Q1993,191,1
1993,Q1994,62,0
1994,Q1995,136,1
1995,Q1996,42,0
1996,Q1997,109,1
1997,Q1998,49,0
1998,Q1999,41,0
1999,Q2000,153,1
2000,Q2001,197,1
2001,Q2002,24,0
2002,Q2003,41,0
2003,Q2004,78,0
2004,Q2005,140,1
2005,Q2006,92,0
2006,Q2007,51,0
2007,Q2008,37,0
2008,Q2009,90,0
2009,Q2010,157,1
2010,Q2011,137,1
2011,Q2012,95,0
2012,Q2013,72,0
2013,Q2014,53,0
2014,Q2015,21,0
2015,Q2016,185,1
2016,Q2017,135,1
2017,Q2018,47,0
2018,Q2019,29,0
2019,Q2020,137,1
2020,Q2021,104,1
2021,Q2022,186,1
2022,Q2023,90,0
2023,Q2024,99,0
2024,Q2025,145,1
2025,Q2026,135,1
2026,Q2027,112,1
2027,Q2028,156,1
2028,Q2029,21,0
2029,Q2030,33,0
2030,Q2031,187,1
2031,Q2032,119,1
2032,Q2033,92,0
2033,Q2034,9,0
2034,Q2035,131,1
2035,Q2036,173,1
2036,Q2037,119,1
2037,Q2038,60,0
2038,Q2039,121,1
2039,Q2040,72,0
2040,Q2041,188,1
2041,Q2042,158,1
2042,Q2043,3,0
2043,Q2044,75,0
2044,Q2045,43,0
2045,Q2046,80,0
2046,Q2047,115,1
2047,Q2048,74,0
2048,Q2049,56,0
2049,Q2050,4,0
2050,Q2051,144,1
2051,Q2052,26,0
2052,Q2053,4,0
2053,Q2054,34,0
2054,Q2055,153,1
2055,Q2056,196,1
2056,Q2057,22,0
2057,Q2058,69,0
2058,Q2059,130,1
2059,Q2060,44,0
2060,Q2061,97,0
2061,Q2062,79,0
2062,Q2063,140,1
2063,Q2064,114,1
2064,Q2065,13,0
2065,Q2066,86,0
2066,Q2067,53,0
2067,Q2068,121,1
2068,Q2069,29,0
2069,Q2070,27,0
2070,Q2071,199,1
2071,Q2072,32,0
2072,Q2073,11,0
2073,Q2074,93,0
2074,Q2075,45,0
2075,Q2076,173,1
2076,Q2077,179,1
2077,Q2078,148,1
2078,Q2079,120,1
2079,Q2080,121,1
2080,Q2081,94,0
2081,Q2082,40,0
2082,Q2083,88,0
2083,Q2084,88,0
2084,Q2085,29,0
2085,Q2086,188,1
2086,Q2087,192,1
2087,Q2088,77,0
2088,Q2089,90,0
2089,Q2090,124,1
2090,Q2091,26,0
2091,Q2092,49,0
2092,Q2093,182,1
2093,Q2094,30,0
2094,Q2095,181,1
2095,Q2096,84,0
2096,Q2097,11,0
2097,Q2098,58,0
2098,Q2099,24,0
2099,Q2100,119,1
2100,Q2101,175,1
2101,Q2102,16,0
2102,Q2103,184,1
2103,Q2104,40,0
2104,Q2105,49,0
2105,Q2106,124,1
2106,Q2107,60,0
2107,Q2108,183,1
2108,Q2109,77,0
2109,Q2110,116,1
2110,Q2111,183,1
2111,Q2112,116,1
2112,Q2113,146,1
2113,Q2114,183,1
2114,Q2115,161,1
2115,Q2116,4,0
2116,Q2117,147,1
2117,Q2118,53,0
2118,Q2119,96,0
2119,Q2120,77,0
2120,Q2121,124,1
2121,Q2122,19,0
2122,Q2123,188,1
2123,Q2124,44,0
2124,Q2125,147,1
2125,Q2126,166,1
2126,Q2127,59,0
2127,Q2128,156,1
2128,Q2129,154,1
2129,Q2130,143,1
2130,Q2131,177,1
2131,Q2132,34,0
2132,Q2133,162,1
2133,Q2134,135,1
2134,Q2135,115,1
2135,Q2136,190,1
2136,Q2137,110,1
2137,Q2138,86,0
2138,Q2139,116,1
2139,Q2140,103,1
2140,Q2141,185,1
2141,Q2142,184,1
2142,Q2143,61,0
2143,Q2144,143,1
2144,Q2145,90,0
2145,Q2146,100,0
2146,Q2147,181,1
2147,Q2148,173,1
2148,Q2149,86,0
2149,Q2150,14,0
2150,Q2151,11,0
2151,Q2152,15,0
2152,Q2153,116,1
2153,Q2154,123,1
2154,Q2155,179,1
2155,Q2156,97,0
2156,Q2157,93,0
2157,Q2158,123,1
2158,Q2159,13,0
2159,Q2160,124,1
2160,Q2161,149,1
2161,Q2162,100,0
2162,Q2163,112,1
2163,Q2164,7,0
2164,Q2165,97,0
2165,Q2166,40,0
2166,Q2167,86,0
2167,Q2168,34,0
2168,Q2169,140,1
2169,Q2170,125,1
2170,Q2171,117,1
2171,Q2172,170,1
2172,Q2173,23,0
2173,Q2174,103,1
2174,Q2175,176,1
2175,Q2176,37,0
2176,Q2177,59,0
2177,Q2178,156,1
2178,Q2179,109,1
2179,Q2180,43,0
2180,Q2181,24,0
2181,Q2182,165,1
2182,Q2183,195,1
2183,Q2184,29,0
2184,Q2185,74,0
2185,Q2186,192,1
2186,Q2187,129,1
2187,Q2188,4,0
2188,Q2189,192,1
2189,Q2190,31,0
2190,Q2191,9,0
2191,Q2192,194,1
2192,Q2193,103,1
2193,Q2194,125,1
2194,Q2195,72,0
2195,Q2196,135,1
2196,Q2197,167,1
2197,Q2198,59,0
2198,Q2199,0,0
2199,Q2200,26,0
2200,Q2201,75,0
2201,Q2202,83,0
2202,Q2203,45,0
2203,Q2204,4,0
2204,Q2205,197,1
2205,Q2206,41,0
2206,Q2207,161,1
2207,Q2208,170,1
2208,Q2209,19,0
2209,Q2210,133,1
2210,Q2211,57,0
2211,Q2212,187,1
2212,Q2213,130,1
2213,Q2214,179,1
2214,Q2215,153,1
2215,Q2216,45,0
2216,Q2217,49,0
2217,Q2218,156,1
2218,Q2219,88,0
2219,Q2220,16,0
2220,Q2221,137,1
2221,Q2222,43,0
2222,Q2223,59,0
2223,Q2224,91,0
2224,Q2225,158,1
2225,Q2226,102,1
2226,Q2227,67,0
2227,Q2228,197,1
2228,Q2229,24,0
2229,Q2230,184,1
2230,Q2231,52,0
2231,Q2232,75,0
2232,Q2233,144,1
2233,Q2234,158,1
2234,Q2235,73,0
2235,Q2236,191,1
2236,Q2237,152,1
2237,Q2238,133,1
2238,Q2239,87,0
2239,Q2240,125,1
2240,Q2241,21,0
2241,Q2242,77,0
2242,Q2243,114,1
2243,Q2244,145,1
2244,Q2245,111,1
2245,Q2246,161,1
2246,Q2247,99,0
2247,Q2248,70,0
2248,Q2249,135,1
2249,Q2250,32,0
2250,Q2251,138,1
2251,Q2252,47,0
2252,Q2253,184,1
2253,Q2254,155,1
2254,Q2255,2,0
2255,Q2256,95,0
2256,Q2257,94,0
2257,Q2258,131,1
2258,Q2259,174,1
2259,Q2260,40,0
2260,Q2261,171,1
2261,Q2262,53,0
2262,Q2263,10,0
2263,Q2264,34,0
2264,Q2265,124,1
2265,Q2266,195,1
2266,Q2267,136,1
2267,Q2268,42,0
2268,Q2269,145,1
2269,Q2270,89,0
2270,Q2271,42,0
2271,Q2272,197,1
2272,Q2273,61,0
2273,Q2274,33,0
2274,Q2275,104,1
2275,Q2276,118,1
2276,Q2277,191,1
2277,Q2278,15,0
2278,Q2279,124,1
2279,Q2280,81,0
2280,Q2281,77,0
2281,Q2282,80,0
2282,Q2283,188,1
2283,Q2284,126,1
2284,Q2285,183,1
2285,Q2286,123,1
2286,Q2287,28,0
2287,Q2288,54,0
2288,Q2289,157,1
2289,Q2290,198,1
2290,Q2291,111,1
2291,Q2292,146,1
2292,Q2293,54,0
2293,Q2294,8,0
2294,Q2295,78,0
2295,Q2296,47,0
2296,Q2297,79,0
2297,Q2298,69,0
2298,Q2299,13,0
2299,Q2300,106,1
2300,Q2301,187,1
2301,Q2302,165,1
2302,Q2303,51,0
2303,Q2304,28,0
2304,Q2305,140,1
2305,Q2306,149,1
2306,Q2307,106,1
2307,Q2308,24,0
2308,Q2309,68,0
2309,Q2310,93,0
2310,Q2311,41,0
2311,Q2312,86,0
2312,Q2313,141,1
2313,Q2314,81,0
2314,Q2315,158,1
2315,Q2316,154,1
2316,Q2317,184,1
2317,Q2318,158,1
2318,Q2319,81,0
2319,Q2320,106,1
2320,Q2321,197,1
2321,Q2322,46,0
2322,Q2323,80,0
2323,Q2324,9,0
2324,Q2325,0,0
2325,Q2326,107,1
2326,Q2327,127,1
2327,Q2328,177,1
2328,Q2329,166,1
2329,Q2330,94,0
2330,Q2331,83,0
2331,Q2332,138,1
2332,Q2333,163,1
2333,Q2334,79,0
2334,Q2335,45,0
2335,Q2336,50,0
2336,Q2337,151,1
2337,Q2338,138,1
2338,Q2339,195,1
2339,Q2340,93,0
2340,Q2341,170,1
2341,Q2342,169,1
2342,Q2343,40,0
2343,Q2344,9,0
2344,Q2345,97,0
2345,Q2346,122,1
2346,Q2347,158,1
2347,Q2348,121,1
2348,Q2349,13,0
2349,Q2350,35,0
2350,Q2351,88,0
2351,Q2352,62,0
2352,Q2353,163,1
2353,Q2354,38,0
2354,Q2355,28,0
2355,Q2356,89,0
2356,Q2357,152,1
2357,Q2358,90,0
2358,Q2359,2,0
2359,Q2360,106,1
2360,Q2361,175,1
2361,Q2362,110,1
2362,Q2363,12,0
2363,Q2364,1,0
2364,Q2365,129,1
2365,Q2366,118,1
2366,Q2367,62,0
2367,Q2368,95,0
2368,Q2369,197,1
2369,Q2370,17,0
2370,Q2371,30,0
2371,Q2372,170,1
2372,Q2373,13,0
2373,Q2374,128,1
2374,Q2375,164,1
2375,Q2376,131,1
2376,Q2377,178,1
2377,Q2378,78,0
2378,Q2379,60,0
2379,Q2380,58,0
2380,Q2381,73,0
2381,Q2382,89,0
2382,Q2383,101,1
2383,Q2384,114,1
2384,Q2385,122,1
2385,Q2386,3,0
2386,Q2387,71,0
2387,Q2388,72,0
2388,Q2389,160,1
2389,Q2390,81,0
2390,Q2391,77,0
2391,Q2392,51,0
2392,Q2393,122,1
2393,Q2394,159,1
2394,Q2395,117,1
2395,Q2396,38,0
2396,Q2397,35,0
2397,Q2398,200,1
2398,Q2399,197,1
2399,Q2400,161,1
2400,Q2401,192,1
2401,Q2402,65,0
2402,Q2403,81,0
2403,Q2404,140,1
2404,Q2405,164,1
2405,Q2406,83,0
2406,Q2407,193,1
2407,Q2408,113,1
2408,Q2409,111,1
2409,Q2410,7,0
2410,Q2411,18,0
2411,Q2412,122,1
2412,Q2413,90,0
2413,Q2414,27,0
2414,Q2415,194,1
2415,Q2416,138,1
2416,Q2417,115,1
2417,Q2418,0,0
2418,Q2419,79,0
2419,Q2420,101,1
2420,Q2421,187,1
2421,Q2422,88,0
2422,Q2423,151,1
2423,Q2424,49,0
2424,Q2425,160,1
2425,Q2426,47,0
2426,Q2427,93,0
2427,Q2428,111,1
2428,Q2429,108,1
2429,Q2430,35,0
2430,Q2431,135,1
2431,Q2432,1,0
2432,Q2433,176,1
2433,Q2434,142,1
2434,Q2435,101,1
2435,Q2436,154,1
2436,Q2437,136,1
2437,Q2438,131,1
2438,Q2439,181,1
2439,Q2440,50,0
2440,Q2441,81,0
2441,Q2442,172,1
2442,Q2443,28,0
2443,Q2444,175,1
2444,Q2445,145,1
2445,Q2446,122,1
2446,Q2447,22,0
2447,Q2448,167,1
2448,Q2449,24,0
2449,Q2450,142,1
2450,Q2451,97,0
2451,Q2452,8,0
2452,Q2453,22,0
2453,Q2454,154,1
2454,Q2455,79,0
2455,Q2456,168,1
2456,Q2457,149,1
2457,Q2458,64,0
2458,Q2459,26,0
2459,Q2460,86,0
2460,Q2461,132,1
2461,Q2462,102,1
2462,Q2463,160,1
2463,Q2464,41,0
2464,Q2465,48,0
2465,Q2466,113,1
2466,Q2467,174,1
2467,Q2468,112,1
2468,Q2469,120,1
2469,Q2470,138,1
2470,Q2471,127,1
2471,Q2472,193,1
2472,Q2473,82,0
2473,Q2474,20,0
2474,Q2475,50,0
2475,Q2476,141,1
2476,Q2477,187,1
2477,Q2478,11,0
2478,Q2479,151,1
2479,Q2480,49,0
2480,Q2481,20,0
2481,Q2482,163,1
2482,Q2483,177,1
2483,Q2484,135,1
2484,Q2485,200,1
2485,Q2486,185,1
2486,Q2487,130,1
2487,Q2488,116,1
2488,Q2489,185,1
2489,Q2490,110,1
2490,Q2491,47,0
2491,Q2492,16,0
2492,Q2493,161,1
2493,Q2494,132,1
2494,Q2495,127,1
2495,Q2496,153,1
2496,Q2497,95,0
